Severity,Safety_Score,Days_Since_Inspection,Total_Safety_Complaints,Control_Metric,Turbulence_In_gforces,Cabin_Temperature,Accident_Type_Code,Max_Elevation,Violations,Adverse_Weather_Metric,Accident_ID
Highly_Fatal_And_Damaging,52.60273973,13,2,47.53874202,0.487768482,84.13,6,31631.23083,1,0.008117908,6499
Significant_Damage_And_Fatalities,29.6347032,13,7,48.90610757,0.511569419,77.68,4,23561.29284,2,0.043469396,2272
Significant_Damage_And_Serious_Injuries,41.73515982,13,11,71.87784868,0.380303642,76.2,6,17443.65487,2,0.004776066,1180
Highly_Fatal_And_Damaging,40.3652968,9,1,56.79124886,0.364436351,76.95,3,21268.83955,3,0.106394034,5780
Significant_Damage_And_Serious_Injuries,30.456621,16,0,76.52689152,0.239661738,78.84,6,37178.37697,2,0.009163566,12089
Minor_Damage_And_Injuries,40.77625571,13,0,45.44211486,0.598118283,76.37,2,22443.89357,1,0.306870693,10487
Significant_Damage_And_Serious_Injuries,37.16894977,14,3,62.7620784,0.329095564,79.63,1,10730.43013,1,0.359229271,2835
Significant_Damage_And_Serious_Injuries,38.81278539,13,18,64.03828624,0.467213127,82.06,6,30858.54314,4,0.008024948,3697
Minor_Damage_And_Injuries,45.20547945,11,35,56.5633546,0.459640101,81.06,6,17474.54856,1,0.004920492,1564
Significant_Damage_And_Serious_Injuries,24.56621005,18,6,59.61713765,0.273560043,78.16,4,31278.38645,2,0.057671472,87
Significant_Damage_And_Serious_Injuries,43.33333333,12,3,77.52962625,0.185568698,79.76,5,14519.24189,2,0.011204959,7845
Significant_Damage_And_Serious_Injuries,56.62100457,8,6,85.68824066,0.151670393,78.6,6,32932.72392,2,0.008176606,6000
Highly_Fatal_And_Damaging,42.64840183,9,0,58.70556062,0.256610891,81.16,1,31380.14392,1,1.163182128,3168
Minor_Damage_And_Injuries,49.08675799,14,4,68.09480401,0.294115398,79.63,1,26992.78692,1,0.991433467,11015
Highly_Fatal_And_Damaging,33.51598174,11,2,61.48587056,0.444133429,75.21,4,25794.58087,3,0.047157141,1459
Highly_Fatal_And_Damaging,25.29680365,14,3,83.81950775,0.301327804,81.94,4,25111.1749,2,0.046045891,7285
Significant_Damage_And_Serious_Injuries,37.39726027,14,1,79.76298997,0.360830148,78.39,6,49758.64154,2,0.012895327,3269
Highly_Fatal_And_Damaging,13.69863014,17,5,62.67092069,0.258413992,79.85,2,37474.07417,1,0.50921559,2453
Minor_Damage_And_Injuries,53.92694064,12,14,49.31631723,0.421053732,86.42,1,37120.17167,3,1.358396134,10724
Significant_Damage_And_Serious_Injuries,48.63013699,11,4,79.76298997,0.25516841,82.66,3,34032.096,0,0.170265585,11302
Significant_Damage_And_Serious_Injuries,52.46575342,9,0,58.93345488,0.425381176,78.75,3,29213.84098,0,0.14544715,5524
Significant_Damage_And_Serious_Injuries,48.44748858,10,27,64.49407475,0.368763794,88.27,6,35818.65322,2,0.00857348,2415
Significant_Damage_And_Fatalities,38.31050228,11,1,49.54421149,0.515536242,79.89,4,47541.00507,3,0.086991335,3318
Significant_Damage_And_Fatalities,58.99543379,14,7,73.01731996,0.320801298,82.49,7,52189.53654,0,0.004492904,4950
Highly_Fatal_And_Damaging,45.38812785,15,3,52.50683683,0.520945546,77.33,2,47423.38606,1,0.639480634,8485
Highly_Fatal_And_Damaging,30.63926941,12,6,74.24794895,0.232809953,76.02,1,32791.84219,3,1.212235923,9552
Highly_Fatal_And_Damaging,13.78995434,17,0,62.67092069,0.300967184,79.84,3,41118.82065,3,0.203686645,1318
Significant_Damage_And_Serious_Injuries,39.49771689,13,6,78.03099362,0.381024883,78.28,3,39523.6658,2,0.196654787,11038
Significant_Damage_And_Serious_Injuries,39.17808219,13,7,70.87511395,0.423938695,78.59,3,33528.51335,3,0.168760794,24
Minor_Damage_And_Injuries,56.84931507,11,18,76.98268004,0.294476019,87.05,2,30950.39131,3,0.42055479,8932
Minor_Damage_And_Injuries,58.44748858,11,5,64.81312671,0.329095564,83.45,2,36844.46116,3,0.499167816,10990
Highly_Fatal_And_Damaging,19.7716895,15,7,57.65724704,0.428626758,78.13,1,18584.99066,2,0.680514978,11035
Significant_Damage_And_Serious_Injuries,51.68949772,10,1,72.56153145,0.387155427,78.56,3,45213.50767,1,0.224051805,7291
Highly_Fatal_And_Damaging,27.80821918,13,5,65.13217867,0.390040389,78.66,7,26744.8668,2,0.002195759,1208
Highly_Fatal_And_Damaging,23.42465753,15,10,71.19416591,0.351454021,79.58,4,42336.48102,2,0.07768469,10362
Significant_Damage_And_Serious_Injuries,62.51141553,13,0,49.04284412,0.543664623,78.46,7,15180.03179,1,0.001035952,1159
Significant_Damage_And_Serious_Injuries,54.24657534,5,4,73.29079307,0.244349802,77.95,3,34497.64398,1,0.170265585,9071
Minor_Damage_And_Injuries,33.10502283,18,5,68.77848678,0.265265777,78.17,1,35553.18579,2,1.308339727,5386
Significant_Damage_And_Fatalities,26.25570776,14,2,55.74293528,0.303852146,79.25,4,41817.9806,3,0.075886726,1330
Highly_Fatal_And_Damaging,30.77625571,20,2,56.83682771,0.303491525,84.76,6,50122.01975,3,0.012272565,3108
Significant_Damage_And_Fatalities,48.63013699,17,1,69.64448496,0.303130905,76.94,7,33771.9963,2,0.00302253,1119
Highly_Fatal_And_Damaging,30.3196347,12,0,68.64175023,0.413480707,81.48,4,46371.52752,2,0.085265848,10252
Significant_Damage_And_Fatalities,23.10502283,14,22,37.51139471,0.577923549,79.74,1,38783.35661,3,1.419256294,1491
Significant_Damage_And_Serious_Injuries,29.08675799,16,2,81.17593437,0.237137396,77.38,6,29575.35166,3,0.007483543,7003
Significant_Damage_And_Fatalities,59.543379,14,15,70.55606199,0.239661738,78.7,7,27171.77467,1,0.002165179,12066
Significant_Damage_And_Fatalities,27.85388128,13,5,53.60072926,0.47226181,78.49,4,24068.42586,2,0.043884561,8060
Highly_Fatal_And_Damaging,20.95890411,15,9,79.39835916,0.267429499,77.1,4,20146.91725,3,0.037949075,9682
Highly_Fatal_And_Damaging,58.31050228,11,4,54.92251595,0.405186441,76.09,2,32793.25715,1,0.442314977,2002
Significant_Damage_And_Serious_Injuries,45.75342466,11,17,59.02461258,0.311425171,85.61,6,25813.38054,3,0.006094288,10816
Minor_Damage_And_Injuries,46.57534247,14,1,64.6308113,0.316473855,79.72,2,30063.66224,1,0.406933962,8394
Minor_Damage_And_Injuries,45.29680365,15,3,76.75478578,0.21550018,78.31,2,22004.47041,2,0.292872789,5069
Significant_Damage_And_Fatalities,40.54794521,20,14,50.36463081,0.354699603,77.62,2,45105.84144,2,0.61774487,4507
Minor_Damage_And_Injuries,57.57990868,11,4,61.39471285,0.548352687,80.98,2,20134.14523,2,0.270944894,4835
Highly_Fatal_And_Damaging,32.14611872,12,5,73.51868733,0.40410458,76.02,1,37060.22364,3,1.358396134,6589
Significant_Damage_And_Serious_Injuries,31.59817352,15,2,61.57702826,0.349290299,83.19,1,23728.35171,2,0.870409654,8956
Significant_Damage_And_Fatalities,20.2283105,15,1,56.15314494,0.523469888,77.04,4,36683.45992,1,0.06789051,6418
Significant_Damage_And_Fatalities,26.21004566,14,3,56.15314494,0.784558961,82.75,1,48583.54863,3,1.781913839,1739
Significant_Damage_And_Serious_Injuries,51.00456621,10,18,57.56608933,0.388237288,78.93,6,37429.15324,2,0.009152432,1081
Significant_Damage_And_Serious_Injuries,43.51598174,12,2,62.03281677,0.451345835,87.34,3,37571.9051,3,0.186909001,230
Significant_Damage_And_Fatalities,35.25114155,11,6,51.36736554,0.398695276,80.44,7,35285.26904,2,0.003212363,7862
Highly_Fatal_And_Damaging,33.74429224,11,2,64.4484959,0.514093761,77.34,4,3971.094226,1,0.020103128,5615
Minor_Damage_And_Injuries,31.82648402,19,0,76.07110301,0.386434187,81.57,4,36989.08023,2,0.067279984,8718
Significant_Damage_And_Serious_Injuries,42.87671233,12,14,68.96080219,0.254447169,77.23,4,13938.95103,3,0.025557014,1796
Significant_Damage_And_Serious_Injuries,31.50684932,15,4,61.57702826,0.493899026,80.47,6,42708.85447,3,0.010557186,8646
Highly_Fatal_And_Damaging,35.98173516,11,7,85.96171376,0.198911648,78.48,3,22102.03854,2,0.110911641,925
Minor_Damage_And_Injuries,30.1369863,16,3,53.2816773,0.250119726,82.18,1,17318.54848,2,0.651623743,2300
Highly_Fatal_And_Damaging,54.52054795,5,3,80.03646308,0.183044356,80.05,3,40028.32614,0,0.198336005,6035
Minor_Damage_And_Injuries,54.88584475,12,4,61.2579763,0.437281644,78.36,4,28287.9926,1,0.052308589,645
Minor_Damage_And_Injuries,57.57990868,11,1,76.89152233,0.428266138,87.23,2,35859.4448,2,0.485770798,2384
Highly_Fatal_And_Damaging,27.30593607,13,13,84.86782133,0.263823296,80.27,2,29399.90628,2,0.399359326,5453
Minor_Damage_And_Injuries,58.26484018,11,7,68.91522334,0.284739272,81.92,3,38968.23652,3,0.196274797,9005
Significant_Damage_And_Fatalities,83.65296804,7,1,89.51686418,0.275363145,80.07,6,30107.34664,4,0.007168962,4175
Highly_Fatal_And_Damaging,34.79452055,11,19,61.66818596,0.448460873,78.22,4,44997.47382,1,0.081535051,9726
Highly_Fatal_And_Damaging,29.7260274,12,17,75.75205105,0.196026686,77.49,4,28715.70804,1,0.05310589,8335
Highly_Fatal_And_Damaging,32.37442922,12,11,66.59070191,0.586939055,79.61,4,25615.58223,2,0.047007902,8382
Minor_Damage_And_Injuries,15.20547945,20,10,50.59252507,0.408071403,80.6,1,23086.07039,4,0.849133434,9993
Significant_Damage_And_Fatalities,69.36073059,11,31,88.46855059,0.250480346,79.36,6,44244.90346,1,0.01056921,875
Significant_Damage_And_Fatalities,17.71689498,16,1,54.9680948,0.47154057,76.78,4,36683.45992,1,0.067701807,2325
Significant_Damage_And_Fatalities,30.3196347,12,1,52.23336372,0.422496213,77.99,2,9666.940558,2,0.122122401,11248
Minor_Damage_And_Injuries,56.02739726,12,13,62.8532361,0.312507032,77.36,5,44899.07051,2,0.029708181,8489
Minor_Damage_And_Injuries,41.73515982,16,5,66.49954421,0.465770646,76.2,2,32060.63407,3,0.432651297,7000
Minor_Damage_And_Injuries,56.84931507,12,0,73.19963537,0.352175261,80.79,2,29887.80597,2,0.405598313,4283
Significant_Damage_And_Serious_Injuries,16.66666667,19,15,65.99817685,0.49930833,76.53,1,11268.29351,3,0.416754744,3799
Significant_Damage_And_Serious_Injuries,27.39726027,17,0,72.19690064,0.340274793,77.36,2,30684.67256,2,0.415919627,7372
Significant_Damage_And_Serious_Injuries,47.89954338,18,12,53.78304467,0.472622431,78.87,6,24170.08953,2,0.005897306,9008
Minor_Damage_And_Injuries,42.69406393,12,11,45.67000912,0.414923188,81.84,3,29832.35471,2,0.148519063,11554
Minor_Damage_And_Injuries,65.98173516,9,3,64.99544211,0.339553552,77.98,1,33179.916,2,1.222028191,10570
Highly_Fatal_And_Damaging,34.65753425,11,5,84.18413856,0.198911648,78.52,7,53915.33299,0,0.004404294,12336
Significant_Damage_And_Fatalities,59.8173516,14,0,74.56700091,0.303852146,76.33,7,13696.99706,2,0.001356365,9511
Highly_Fatal_And_Damaging,22.60273973,15,15,57.976299,0.527797331,82.39,4,36653.79366,0,0.06703816,9293
Highly_Fatal_And_Damaging,21.27853881,15,8,72.83500456,0.329456185,82.93,4,43034.57271,1,0.079028322,11680
Significant_Damage_And_Serious_Injuries,69.8630137,11,3,57.15587967,0.441609088,76.83,7,42842.03827,2,0.003857054,9844
Highly_Fatal_And_Damaging,48.67579909,7,2,67.6390155,0.251922827,78.77,4,30423.72497,4,0.055658724,7236
Highly_Fatal_And_Damaging,18.72146119,16,2,74.24794895,0.238940498,79.16,1,15576.82814,2,0.589488708,11373
Minor_Damage_And_Injuries,52.37442922,9,5,41.20328168,0.623001082,79.53,3,34001.72617,1,0.170265585,3557
Highly_Fatal_And_Damaging,32.73972603,12,7,63.67365542,0.432593581,77.34,4,27897.8067,2,0.050710543,841
Minor_Damage_And_Injuries,57.03196347,12,9,65.22333637,0.277887486,78.48,2,34310.10426,1,0.465273335,8482
Minor_Damage_And_Injuries,54.42922374,12,6,68.77848678,0.198911648,76.58,5,32800.83687,2,0.021450516,10489
Significant_Damage_And_Fatalities,58.76712329,14,8,73.01731996,0.34965092,79.29,7,37867.50434,4,0.003640686,8621
Significant_Damage_And_Serious_Injuries,33.15068493,15,0,76.80036463,0.369485034,80.64,4,37935.80165,1,0.069215439,4769
Minor_Damage_And_Injuries,34.65753425,15,8,54.28441203,0.592348359,82.71,3,34985.72171,3,0.175089765,6561
Highly_Fatal_And_Damaging,28.94977169,13,4,69.59890611,0.334865489,83.29,4,36539.89933,3,0.067297134,10412
Significant_Damage_And_Serious_Injuries,47.35159817,11,0,77.07383774,0.321161918,77.86,7,32624.49113,4,0.003249482,722
Minor_Damage_And_Injuries,59.04109589,11,5,68.14038286,0.253365308,80.79,2,26755.00794,2,0.3585355,4444
Significant_Damage_And_Serious_Injuries,65.43378995,12,7,49.40747493,0.421053732,81.45,4,35275.17365,3,0.064052972,7948
Highly_Fatal_And_Damaging,48.63013699,7,22,65.22333637,0.334865489,81.31,4,36384.88629,1,0.065822195,9454
Highly_Fatal_And_Damaging,55.66210046,5,13,21.14858706,0.818096646,82.86,6,42536.96106,2,0.010830605,1518
Significant_Damage_And_Fatalities,67.44292237,12,4,74.79489517,0.233531194,85.61,7,25956.9935,2,0.002534247,8816
Minor_Damage_And_Injuries,54.38356164,12,6,73.47310848,0.288706094,75.69,4,37388.68971,2,0.068636161,4818
Significant_Damage_And_Fatalities,72.00913242,11,3,62.9443938,0.321883159,85.71,7,43296.07115,3,0.003750067,11878
Significant_Damage_And_Serious_Injuries,32.46575342,15,4,74.74931632,0.265626397,78.21,6,40416.90348,1,0.009514099,879
Highly_Fatal_And_Damaging,29.08675799,13,10,74.52142206,0.304573386,79.05,4,40754.76562,2,0.074357579,11437
Significant_Damage_And_Serious_Injuries,57.16894977,8,5,88.87876026,0.213697079,80.16,6,14287.47546,2,0.003414515,253
Significant_Damage_And_Fatalities,17.30593607,16,7,51.5952598,0.422496213,78.91,1,22087.48601,0,0.812553201,1542
Minor_Damage_And_Injuries,30.82191781,15,6,54.64904284,0.371648756,81.39,3,35285.26904,2,0.175624748,6986
Minor_Damage_And_Injuries,62.78538813,6,1,33.68277119,0.668078615,77.25,3,38281.29237,2,0.190396357,10288
Highly_Fatal_And_Damaging,54.84018265,5,28,79.85414768,0.206124053,80.05,4,17326.7709,4,0.031158483,7061
Highly_Fatal_And_Damaging,17.16894977,16,15,75.25068368,0.291230436,76.78,4,31531.7962,0,0.057508197,2189
Significant_Damage_And_Serious_Injuries,51.41552511,9,3,71.37648131,0.227040029,77.96,3,38369.54216,3,0.19093699,9030
Significant_Damage_And_Serious_Injuries,36.07305936,14,4,48.90610757,0.252644068,78.11,3,21369.81308,4,0.105891317,5662
Significant_Damage_And_Fatalities,30.1369863,12,0,52.23336372,0.785640822,81.13,1,37945.78025,3,1.39011858,1447
Minor_Damage_And_Injuries,48.76712329,14,33,65.49680948,0.329095564,81.75,2,42621.84361,2,0.577773876,6487
Highly_Fatal_And_Damaging,30.63926941,12,0,67.59343665,0.2692326,82.85,4,56326.35024,2,0.11478887,505
Significant_Damage_And_Serious_Injuries,41.14155251,12,0,62.67092069,0.315752614,79.15,1,30269.97101,3,1.113600266,3379
Significant_Damage_And_Serious_Injuries,43.51598174,12,3,82.04193254,0.254807789,80.96,5,22036.1723,4,0.014437287,9665
Minor_Damage_And_Injuries,46.98630137,11,2,53.96536007,0.461803823,80.23,2,43203.98251,3,0.588559895,8107
Significant_Damage_And_Fatalities,9.908675799,19,12,54.01093892,0.466852506,82.15,5,30719.49911,1,0.020296259,9715
Minor_Damage_And_Injuries,51.55251142,13,11,77.52962625,0.316473855,78.35,5,44315.60535,1,0.029100155,11780
Significant_Damage_And_Fatalities,36.25570776,11,7,52.05104831,0.280411828,76.35,4,33112.52185,2,0.060885686,8538
Minor_Damage_And_Injuries,47.99086758,11,9,56.79124886,0.414923188,80.42,3,9560.909439,1,0.012477811,784
Significant_Damage_And_Fatalities,23.10502283,14,16,44.71285324,0.675651641,79.06,3,36422.87493,2,0.181048303,6884
Significant_Damage_And_Serious_Injuries,53.83561644,12,1,50.68368277,0.717844212,78.9,5,40541.72904,1,0.027307774,2895
Significant_Damage_And_Serious_Injuries,63.51598174,13,4,49.04284412,0.252644068,78.48,7,9966.281392,2,0.001102636,7463
Significant_Damage_And_Fatalities,67.94520548,12,35,60.66545123,0.416726289,78.56,4,27289.11653,1,0.050222997,2426
Significant_Damage_And_Serious_Injuries,26.62100457,17,0,73.74658159,0.369845655,78.92,1,39239.23963,2,1.43817383,2831
Significant_Damage_And_Serious_Injuries,29.40639269,16,10,64.81312671,0.58044789,77.87,3,43209.8141,3,0.215461328,8511
Minor_Damage_And_Injuries,47.12328767,11,16,55.78851413,0.311785792,80.25,2,24422.94343,3,0.330528597,535
Minor_Damage_And_Injuries,50.86757991,13,3,62.62534184,0.52527299,89.82,5,32791.01474,1,0.021224654,4064
Minor_Damage_And_Injuries,76.11872146,6,1,65.36007293,0.461082582,75.41,4,22083.71535,4,0.040335528,6740
Significant_Damage_And_Fatalities,78.67579909,9,1,62.26071103,0.427905517,77.09,6,28815.05953,4,0.0070379,4975
Highly_Fatal_And_Damaging,32.10045662,12,16,81.44940747,0.29555788,77.84,1,41697.17492,0,1.534388923,7567
Significant_Damage_And_Serious_Injuries,34.38356164,15,7,21.14858706,0.774822214,85.58,3,28384.52631,1,0.141411386,7293
Highly_Fatal_And_Damaging,41.14155251,9,0,72.01458523,0.35001154,82.44,7,35976.20214,3,0.003113423,2331
Significant_Damage_And_Serious_Injuries,45.43378995,18,1,54.6946217,0.455312658,84.74,7,36560.59612,0,0.003045071,11061
Minor_Damage_And_Injuries,38.44748858,17,22,76.89152233,0.428266138,76.69,2,14865.90565,2,0.176030905,2055
Highly_Fatal_And_Damaging,34.47488584,11,8,65.99817685,0.28257555,76.79,2,30122.31936,3,0.412493537,6088
Significant_Damage_And_Serious_Injuries,32.92237443,15,12,57.74840474,0.407350162,84.26,3,25131.3222,2,0.125493232,1470
Highly_Fatal_And_Damaging,12.46575342,18,9,73.33637192,0.316113235,78.6,2,21259.72967,0,0.286821822,2715
Significant_Damage_And_Serious_Injuries,46.21004566,18,4,42.88969918,0.608215651,82.69,7,24523.02714,2,0.002279511,9561
Minor_Damage_And_Injuries,42.10045662,12,22,56.74567001,0.72902344,75.83,2,32349.29538,0,0.438933418,10101
Significant_Damage_And_Fatalities,26.25570776,14,26,55.24156791,0.5130119,81.43,4,47946.31259,2,0.088648827,10811
Highly_Fatal_And_Damaging,46.25570776,8,29,65.04102097,0.293394158,88.71,4,37917.17971,2,0.069226186,6245
Significant_Damage_And_Fatalities,31.78082192,21,6,70.55606199,0.324046881,81.13,2,25151.65052,4,0.339470395,668
Minor_Damage_And_Injuries,52.37442922,13,0,66.36280766,0.365878832,78.63,5,26261.55154,1,0.01651349,9378
Significant_Damage_And_Fatalities,58.72146119,14,6,78.12215132,0.302770285,79.99,4,24305.3909,2,0.044566011,11775
Significant_Damage_And_Fatalities,82.23744292,7,10,80.99361896,0.319358817,80.22,7,26029.21845,1,0.00243244,2211
Significant_Damage_And_Serious_Injuries,36.66666667,14,11,71.42206016,0.314310133,79.2,6,31335.47682,2,0.008116929,6267
Significant_Damage_And_Fatalities,72.92237443,10,7,70.9206928,0.276084385,77.86,7,32463.03292,0,0.00322386,6731
Highly_Fatal_And_Damaging,24.74885845,14,7,87.46581586,0.215860801,83.48,4,21267.70437,2,0.038451783,125
Highly_Fatal_And_Damaging,48.67579909,7,10,70.00911577,0.346765957,83.19,6,22288.61637,3,0.00566656,268
Significant_Damage_And_Serious_Injuries,42.19178082,12,3,66.45396536,0.329456185,78.69,3,30464.23286,3,0.152337945,1738
Minor_Damage_And_Injuries,49.04109589,14,3,69.69006381,0.317195096,78.64,2,34529.62574,3,0.469625726,830
Significant_Damage_And_Fatalities,23.01369863,14,7,43.80127621,0.453870177,78.69,6,37082.00442,1,0.008740114,1715
Highly_Fatal_And_Damaging,15.43378995,17,0,67.50227894,0.405547061,79.45,4,47362.34929,2,0.086513998,9318
Highly_Fatal_And_Damaging,36.16438356,11,2,59.98176846,0.338832312,81.17,4,32342.31338,2,0.058720554,7677
Significant_Damage_And_Serious_Injuries,48.72146119,10,19,62.16955333,0.55231951,79.42,3,35329.41208,2,0.175624748,12443
Highly_Fatal_And_Damaging,37.12328767,10,2,70.19143118,0.239661738,81.11,4,23275.65222,2,0.042140418,11549
Significant_Damage_And_Serious_Injuries,43.83561644,12,2,69.55332726,0.409513884,79.61,3,27584.05649,4,0.137231411,5006
Significant_Damage_And_Fatalities,20.2283105,15,4,55.69735643,0.311425171,79.31,4,36228.38126,3,0.066055734,11966
Significant_Damage_And_Fatalities,32.42009132,12,14,51.5952598,0.288345474,81.8,3,18799.48957,2,0.095587438,5027
Minor_Damage_And_Injuries,46.48401826,11,0,52.59799453,0.335226109,76.85,4,32058.5032,2,0.059119512,10645
Significant_Damage_And_Fatalities,33.19634703,11,1,41.43117593,0.502914533,82.7,2,47505.46229,5,0.648170989,12279
Minor_Damage_And_Injuries,45.29680365,15,1,60.34639927,0.531764154,79.83,4,30954.27117,2,0.056423869,366
Highly_Fatal_And_Damaging,5.205479452,20,4,71.37648131,0.189535521,78.52,6,32124.97323,3,0.00811696,11277
